                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95798,                 2.7028,                0.29817,                0.80437,                 1.1547,                0.85691,                0.78722,                 0.8805,                0.64757,                0.81254,                0.69144,                0.73549,                0.41112,                0.93773,                 2.6528,                0.29358,                0.75014,                 1.1192,               0.070008,              0.0033324,              0.0033324
                      1,                 1.0809,                 3.4958,                0.33772,                0.95226,                 1.2304,                0.83182,                0.74953,                0.85073,                0.60022,                0.78382,                0.62925,                0.66532,                0.32941,                 1.0304,                 3.2271,                0.32285,                0.88171,                 1.1841,               0.039876,              0.0065337,              0.0065337
                      2,                 1.2018,                 4.1757,                0.37305,                 1.1114,                 1.3122,                0.80951,                0.71787,                0.81741,                0.55215,                0.73395,                0.58588,                0.60718,                0.27766,                 1.1283,                 3.6181,                0.35961,                0.98273,                 1.2613,              0.0096125,              0.0096031,              0.0096031
                      3,                 1.2396,                 4.3877,                0.38897,                 1.1691,                 1.3398,                0.83612,                0.72686,                0.83649,                0.58239,                0.78107,                 0.6113,                0.65313,                0.32015,                  1.064,                 3.3436,                0.35074,                0.91582,                 1.2189,               0.009406,               0.009406,               0.009406
                      4,                 1.1966,                 4.1489,                0.38131,                 1.1137,                 1.3132,                0.83223,                0.75189,                0.84815,                0.59724,                0.78594,                 0.6302,                0.67099,                0.34358,                 1.0271,                 3.1991,                0.34231,                0.88015,                 1.1969,               0.009406,               0.009406,               0.009406
                      5,                 1.1675,                 3.9836,                0.37447,                 1.0792,                 1.2955,                0.83357,                 0.7585,                0.85751,                0.61561,                0.78401,                 0.6483,                0.69049,                0.36315,                 1.0001,                  3.041,                0.33456,                0.84116,                 1.1732,               0.009208,               0.009208,               0.009208
                      6,                 1.1496,                 3.8589,                0.36839,                 1.0525,                 1.2836,                0.84829,                0.75966,                0.86306,                0.62293,                0.79031,                0.66184,                0.70121,                0.37917,                0.97802,                  2.943,                0.32942,                0.82153,                 1.1619,                0.00901,                0.00901,                0.00901
                      7,                 1.1331,                 3.7793,                0.36334,                 1.0312,                 1.2719,                0.83714,                0.78089,                0.87151,                0.63464,                0.80383,                0.67176,                0.72231,                0.39981,                0.95848,                 2.8128,                0.32526,                 0.7893,                 1.1435,               0.008812,               0.008812,               0.008812
                      8,                 1.1223,                 3.6998,                 0.3603,                 1.0153,                 1.2642,                0.84906,                0.78133,                0.87202,                0.63909,                0.78815,                0.68404,                0.72237,                0.40883,                0.94711,                 2.7708,                0.32178,                 0.7793,                 1.1369,               0.008614,               0.008614,               0.008614
                      9,                 1.1141,                  3.662,                0.35711,                 1.0073,                 1.2612,                0.85455,                0.78065,                0.87581,                0.64562,                0.80575,                0.68671,                0.73062,                0.41766,                0.93675,                 2.7116,                0.31855,                 0.7688,                 1.1298,               0.008416,               0.008416,               0.008416
                     10,                 1.1074,                 3.5899,                0.35356,                0.99608,                 1.2549,                 0.8568,                0.77724,                0.87815,                0.64778,                0.82072,                0.68252,                0.73926,                0.42392,                0.93108,                 2.6639,                0.31548,                0.75706,                 1.1251,               0.008218,               0.008218,               0.008218
                     11,                 1.0993,                 3.5718,                0.35037,                0.98973,                 1.2486,                0.85407,                0.78227,                0.87958,                0.64972,                0.81329,                0.68498,                0.74017,                0.42916,                0.92566,                 2.6338,                0.31301,                0.75097,                  1.121,                0.00802,                0.00802,                0.00802
                     12,                 1.0921,                 3.5128,                0.34899,                0.97692,                 1.2447,                0.85328,                0.78463,                0.88275,                 0.6536,                0.81209,                0.69112,                0.74427,                0.43339,                0.91871,                 2.6047,                0.31119,                 0.7408,                 1.1179,               0.007822,               0.007822,               0.007822
                     13,                 1.0867,                 3.4736,                0.34699,                0.97055,                  1.241,                0.85158,                0.78495,                0.88373,                 0.6573,                0.81347,                 0.6938,                0.74799,                0.43721,                0.91375,                 2.5768,                0.30939,                 0.7343,                 1.1144,               0.007624,               0.007624,               0.007624
                     14,                 1.0821,                 3.4434,                0.34516,                0.96598,                 1.2385,                0.84927,                0.79388,                0.88469,                0.65798,                0.81484,                0.69834,                0.75114,                0.43978,                0.90955,                 2.5497,                0.30793,                0.72879,                 1.1106,               0.007426,               0.007426,               0.007426
                     15,                 1.0768,                 3.4196,                0.34388,                0.95911,                 1.2335,                0.85246,                0.79408,                0.88595,                0.65985,                0.81521,                0.69852,                0.75301,                 0.4433,                0.90749,                 2.5329,                0.30678,                0.72328,                 1.1094,               0.007228,               0.007228,               0.007228
                     16,                 1.0712,                 3.4049,                0.34137,                0.95317,                  1.231,                 0.8555,                 0.7914,                0.88601,                0.66106,                0.81591,                0.70009,                0.75312,                0.44593,                0.90536,                  2.522,                0.30586,                0.72124,                 1.1074,                0.00703,                0.00703,                0.00703
                     17,                 1.0708,                 3.3863,                0.34061,                0.94926,                 1.2282,                0.85418,                0.79471,                0.88805,                0.66226,                0.81741,                0.70151,                0.75544,                0.44777,                0.90389,                 2.5092,                 0.3049,                0.71903,                 1.1059,               0.006832,               0.006832,               0.006832
                     18,                 1.0667,                  3.351,                0.33926,                0.94289,                 1.2254,                0.85151,                0.79897,                0.88839,                  0.664,                0.81562,                0.70246,                0.75579,                0.44926,                0.90242,                 2.4966,                0.30428,                0.71671,                 1.1045,               0.006634,               0.006634,               0.006634
                     19,                 1.0612,                 3.3209,                0.33753,                0.93682,                 1.2244,                0.85394,                0.79619,                0.88883,                0.66445,                0.81411,                0.70592,                0.75882,                0.45095,                0.90117,                 2.4827,                0.30351,                0.71469,                 1.1037,               0.006436,               0.006436,               0.006436
                     20,                 1.0589,                 3.3148,                0.33676,                0.93306,                 1.2216,                 0.8575,                0.79482,                 0.8892,                0.66515,                0.81503,                0.71096,                0.76098,                0.45218,                0.89891,                 2.4706,                0.30257,                0.71268,                 1.1018,               0.006238,               0.006238,               0.006238
                     21,                 1.0576,                 3.2954,                0.33492,                 0.9328,                 1.2216,                0.85429,                0.79754,                0.88984,                0.66614,                0.81348,                0.71285,                0.76129,                0.45284,                0.89764,                 2.4619,                0.30186,                0.71114,                 1.1007,                0.00604,                0.00604,                0.00604
                     22,                   1.05,                 3.2611,                0.33352,                0.92582,                 1.2164,                0.86029,                0.79503,                0.89021,                 0.6667,                0.80847,                0.71305,                0.75913,                0.45354,                 0.8961,                 2.4583,                0.30136,                0.70956,                 1.0997,               0.005842,               0.005842,               0.005842
                     23,                 1.0477,                 3.2355,                0.33125,                0.91817,                 1.2147,                0.86084,                0.79628,                0.89114,                0.66782,                 0.8127,                0.71382,                 0.7607,                0.45493,                0.89466,                 2.4503,                0.30063,                0.70782,                 1.0986,               0.005644,               0.005644,               0.005644
                     24,                  1.043,                 3.2297,                0.33191,                0.91402,                 1.2129,                0.85836,                0.79666,                0.89123,                0.66844,                0.81368,                0.71285,                0.76107,                0.45613,                0.89341,                 2.4421,                0.29997,                0.70639,                 1.0979,               0.005446,               0.005446,               0.005446
                     25,                 1.0432,                 3.2078,                0.33089,                0.91374,                 1.2123,                0.85186,                0.80258,                0.89137,                0.66869,                 0.8172,                0.71152,                0.76162,                 0.4565,                0.89215,                 2.4324,                0.29933,                0.70563,                 1.0968,               0.005248,               0.005248,               0.005248
                     26,                 1.0375,                 3.1813,                0.32892,                0.90773,                 1.2082,                0.85177,                0.80274,                0.89154,                0.66891,                0.81625,                0.71174,                0.76339,                0.45765,                0.89167,                 2.4228,                0.29867,                0.70383,                 1.0963,                0.00505,                0.00505,                0.00505
                     27,                 1.0339,                 3.1587,                0.32736,                0.90055,                 1.2039,                0.84926,                0.80542,                0.89178,                  0.669,                0.81771,                0.71143,                0.76458,                0.45928,                 0.8904,                 2.4114,                0.29809,                0.70256,                 1.0951,               0.004852,               0.004852,               0.004852
                     28,                 1.0271,                 3.1242,                 0.3271,                0.89814,                 1.2011,                0.85307,                0.80416,                0.89195,                 0.6694,                 0.8192,                0.70975,                0.76462,                0.46077,                0.88935,                 2.4018,                0.29745,                0.70106,                 1.0942,               0.004654,               0.004654,               0.004654
                     29,                 1.0248,                 3.1099,                0.32548,                0.89434,                 1.2006,                0.85162,                0.80699,                0.89244,                0.67045,                0.82537,                0.70702,                0.76586,                0.46193,                0.88819,                 2.3946,                0.29686,                0.69965,                 1.0933,               0.004456,               0.004456,               0.004456
                     30,                 1.0252,                 3.1077,                0.32469,                0.89309,                 1.2004,                0.85246,                0.80872,                0.89303,                0.67125,                0.82552,                0.70911,                0.76712,                0.46256,                0.88744,                 2.3895,                0.29636,                0.69788,                 1.0923,               0.004258,               0.004258,               0.004258
                     31,                 1.0199,                 3.0772,                 0.3232,                0.88682,                 1.1974,                0.85206,                0.80793,                 0.8936,                0.67196,                0.82637,                0.70958,                0.76823,                0.46467,                0.88614,                 2.3828,                0.29567,                0.69582,                 1.0916,                0.00406,                0.00406,                0.00406
                     32,                 1.0191,                 3.0467,                0.32214,                0.88277,                 1.1946,                0.85249,                 0.8103,                0.89427,                0.67246,                0.82896,                0.70957,                  0.769,                0.46573,                 0.8852,                 2.3757,                0.29494,                 0.6937,                 1.0907,               0.003862,               0.003862,               0.003862
                     33,                 1.0105,                 3.0156,                0.32078,                0.87674,                 1.1918,                0.85228,                0.80998,                0.89427,                0.67327,                0.82512,                0.71363,                0.77066,                0.46632,                0.88369,                 2.3691,                0.29405,                 0.6923,                 1.0897,               0.003664,               0.003664,               0.003664
                     34,                 1.0094,                 2.9987,                0.31966,                0.87389,                 1.1899,                0.85614,                0.80762,                0.89475,                0.67398,                 0.8286,                0.71363,                0.77249,                0.46767,                0.88295,                 2.3631,                0.29329,                0.69068,                  1.089,               0.003466,               0.003466,               0.003466
                     35,                 1.0059,                 2.9877,                0.31831,                0.86997,                  1.189,                  0.857,                0.80762,                0.89499,                0.67478,                0.82497,                0.71756,                0.77355,                0.46879,                0.88176,                 2.3572,                0.29266,                0.68893,                 1.0883,               0.003268,               0.003268,               0.003268
                     36,                 1.0038,                 2.9644,                 0.3175,                0.86531,                 1.1854,                0.85653,                 0.8083,                0.89532,                0.67542,                 0.8279,                0.71644,                0.77428,                0.46944,                0.88149,                 2.3478,                0.29191,                0.68793,                 1.0877,                0.00307,                0.00307,                0.00307
                     37,                0.99972,                 2.9309,                 0.3167,                0.86118,                 1.1855,                0.85707,                0.80778,                0.89548,                0.67549,                0.82782,                0.71754,                0.77544,                0.47065,                0.88093,                 2.3403,                0.29116,                0.68689,                 1.0874,               0.002872,               0.002872,               0.002872
                     38,                0.99485,                 2.9127,                0.31428,                0.85236,                 1.1801,                0.85471,                0.80998,                0.89621,                0.67598,                0.82864,                0.71637,                0.77602,                0.47181,                0.87979,                 2.3331,                0.29045,                 0.6862,                 1.0863,               0.002674,               0.002674,               0.002674
                     39,                0.98886,                 2.8946,                0.31282,                0.84743,                 1.1775,                0.86256,                0.80494,                0.89624,                0.67726,                0.83059,                0.71537,                0.77573,                 0.4734,                0.87894,                  2.327,                0.28963,                 0.6846,                 1.0856,               0.002476,               0.002476,               0.002476
                     40,                0.98345,                 2.8463,                0.31082,                0.84098,                 1.1742,                 0.8641,                0.80447,                 0.8967,                0.67827,                0.82962,                0.71904,                0.77726,                 0.4751,                0.87762,                 2.3186,                0.28882,                0.68317,                 1.0847,               0.002278,               0.002278,               0.002278
                     41,                0.98058,                 2.8314,                0.31004,                0.83783,                 1.1729,                0.86372,                0.80715,                0.89723,                0.67899,                0.82954,                0.71993,                0.77784,                0.47621,                0.87665,                 2.3093,                0.28802,                0.68239,                 1.0839,                0.00208,                0.00208,                0.00208
                     42,                0.97594,                 2.7955,                0.30849,                0.83149,                 1.1704,                0.86112,                0.80809,                0.89726,                0.67981,                0.82979,                0.72068,                0.77879,                0.47756,                0.87578,                 2.3001,                0.28714,                0.68094,                 1.0832,               0.001882,               0.001882,               0.001882
                     43,                0.97186,                 2.7582,                0.30668,                0.82575,                  1.167,                0.86428,                0.80806,                0.89779,                0.68002,                0.83027,                0.72006,                 0.7798,                0.47862,                0.87459,                 2.2921,                 0.2864,                0.68049,                 1.0823,               0.001684,               0.001684,               0.001684
                     44,                0.96892,                 2.7487,                0.30707,                0.82041,                 1.1643,                0.86441,                0.80888,                0.89789,                0.68074,                0.82849,                0.72198,                0.78013,                0.47994,                0.87332,                 2.2837,                0.28567,                0.67919,                 1.0814,               0.001486,               0.001486,               0.001486
                     45,                0.96342,                   2.72,                0.30472,                0.81499,                 1.1615,                0.86164,                0.81174,                0.89832,                0.68102,                0.82927,                0.72187,                0.77979,                0.48136,                0.87241,                 2.2769,                0.28504,                0.67818,                 1.0805,               0.001288,               0.001288,               0.001288
                     46,                0.95854,                 2.6859,                 0.3034,                0.81034,                 1.1607,                0.86228,                 0.8114,                0.89842,                0.68189,                0.83167,                0.72339,                 0.7811,                 0.4825,                 0.8716,                 2.2693,                0.28428,                0.67736,                 1.0797,                0.00109,                0.00109,                0.00109
                     47,                0.95564,                 2.6561,                0.30188,                0.80512,                 1.1581,                0.86248,                0.81203,                0.89908,                0.68212,                0.82924,                0.72544,                0.78186,                 0.4834,                 0.8702,                 2.2617,                0.28356,                0.67604,                 1.0783,               0.000892,               0.000892,               0.000892
                     48,                0.94877,                 2.6293,                 0.3005,                0.79844,                 1.1543,                0.86343,                0.81219,                0.89926,                0.68322,                 0.8308,                0.72402,                0.78269,                0.48475,                 0.8694,                 2.2534,                0.28287,                0.67498,                 1.0779,               0.000694,               0.000694,               0.000694
                     49,                0.94632,                 2.6111,                0.29903,                0.79518,                 1.1539,                0.86062,                0.81423,                0.89948,                 0.6838,                0.83129,                0.72453,                0.78465,                0.48622,                0.86835,                 2.2461,                0.28201,                0.67414,                 1.0771,               0.000496,               0.000496,               0.000496
